VHF.Lib.B,VHF.Lib.A,UHF.Lib.B,UHF.Lib.A,SHF.Lib.B,SHF.Lib.A,VHF.Pro,VHF.SMM.B,VHF.SMM.A,VHF.Fron,UHF.Fron,HF.Cnaf.B,HF.Cnaf.A,HF.Cnaf.Ser,HF.Cnaf.Note,VHF.Cnaf.B,VHF.Cnaf.A,VHF.Cnaf.Ser,VHF.Cnaf.Note,UHF.Cnaf.B,UHF.Cnaf.A,UHF.Cnaf.Ser,UHF.Cnaf.Note
151.6125,151.6375,450.2625,450.4875,5150,5250,162.4,156.375,156.375,139.15,407.85,2.85,3.025,,,29.7,30.005,Fijo | Móvil,None,225,312,Fijo | Móvil,
153.0125,153.2375,455.2625,455.4875,5250,5350,162.425,156.425,156.6,142.725,415.7,3.025,3.155,,,30.005,30.01,Fijo | Móvil | Investigación Espacial | Operaciones Espaciales (Identificación de Satélites),None,312,315,Fijo | Móvil | Móvil por satélite (Tierra-Espacio),
154.5875,154.6125,462.55625,462.56875,5470,5600,162.45,156.65,156.85,151.19,463.45,3.155,3.2,,,30.01,37.5,Fijo | Móvil,None,315,322,Fijo | Móvil,
159.0125,159.2,462.58125,462.59375,5650,5725,162.475,156.925,157,151.28,463.475,3.2,3.23,,,37.5,38.25,Fijo | Móvil | Radioastronomía,None,322,328.6,Fijo | Móvil | Radioastronomía,
163.0125,163.2375,462.60625,462.61875,5725,5850,162.5,157.35,157.425,151.295,468.45,3.23,3.4,,,38.25,39.986,Fijo | Móvil,None,328.6,335.4,Radionavegación aeronáutica,
,,462.63125,462.64375,,,162.525,160.625,160.65,151.31,468.475,3.4,3.5,,,39.986,40.02,Fijo | Móvil | Investigación Espacial,None,335.4,387,Fijo | Móvil,
,,462.65625,462.66875,,,162.55,160.7,160.95,159.225,,3.5,3.75,,,40.02,40.98,Fijo | Móvil,MX68,387,390,Fijo | Móvil | Móvil por satélite (Tierra-Espacio),
,,462.68125,462.69375,,,,161.5,162.025,166.6125,,3.75,4,,,40.98,41.015,Fijo | Móvil | Investigación Espacial,None,390,399.9,Fijo | Móvil,
,,462.70625,462.71875,,,,,,166.675,,4,4.063,,,41.015,41.665,Fijo | Móvil | Radiolocalización,MX38A,399.9,400.05,Móvil por satélite (Tierra-Espacio),
,,463.7625,463.9875,,,,,,167.1,,4.063,4.438,,,41.665,43.35,Fijo | Móvil,None,400.05,400.15,Frecuencias patrón y señales horarias por Satélite (400.1 MHz),
,,464.4875,464.5125,,,,,,167.95,,4.438,4.488,,,43.35,44,Fijo | Móvil | Radiolocalización,MX38A | [5.161A ],400.15,401,Ayudas a la meteorología | Investigación espacial (Espacio-Tierra) | Meteorología por satélite (Espacio-Tierra) | Móvil por satélite (Espacio-Tierra),
,,464.5375,464.5625,,,,,,168.075,,4.488,4.65,,,44,50,Fijo | Móvil,None,401,403,Ayudas a la meteorología | Exploración de la tierra por satélite (Tierra-Espacio) | Meteorología por satélite (Tierra-Espacio),
,,467.55625,467.56875,,,,,,168.1,,4.65,4.7,,,50,54,Aficionados,MX28,403,406,Ayudas a la meteorología,
,,467.58125,467.59375,,,,,,168.4,,4.7,4.75,,,54,72,Fijo | Móvil | Radiodifusión,MX87 | MX88 | MX90,406,406.1,Móvil por satélite (Tierra-Espacio),
,,467.60625,467.61875,,,,,,168.475,,4.75,4.85,,,72,73,Fijo | Móvil,,406.1,410,Fijo,
,,467.63125,467.64375,,,,,,168.55,,4.85,4.995,,,73,74.6,Radioastronomía,,410,420,Móvil salvo móvil aeronáutico | Investigación espacial (Espacio-Tierra),
,,467.65625,467.66875,,,,,,168.625,,4.995,5.003,,,74.6,74.8,Fijo | Móvil,,420,430,Móvil salvo móvil aeronáutico | Radiolocalización,
,,467.68125,467.69375,,,,,,168.7,,5.003,5.005,,,74.8,75.2,Radionavegación aeronáutica,,430,435,Móvil salvo móvil aeronáutico | Aficionados | Radiolocalización,
,,467.70625,467.71875,,,,,,169.15,,5.005,5.06,,,75.2,75.4,Fijo | Móvil,,435,438,Aficionados | Radiolocalización,
,,467.8375,467.8625,,,,,,169.2,,5.06,5.25,,,75.4,76,Fijo | Móvil,,438,440,Móvil salvo móvil aeronáutico | Aficionados | Radiolocalización,
,,467.8625,467.8875,,,,,,169.75,,5.25,5.275,,,76,88,Fijo | Móvil | Radiodifusión,,440,450,Aficionados | Radiolocalización,
,,467.8875,467.9125,,,,,,170,,5.275,5.3515,,,88,108,Radiodifusión,,450,470,Fijo | Móvil,
,,467.9125,467.9375,,,,,,170.425,,5.3515,5.3665,,,108,117.975,Radionavegación aeronáutica,,470,608,Fijo | Móvil | Radiodifusión,
,,468.7625,468.9875,,,,,,170.45,,5.3665,5.45,,,117.975,137,Móvil Aeronáutico ®,,608,614,Radioastronomía,
,,902,928,,,,,,170.925,,5.45,5.68,,,137,138,Investigación espacial (Espacio-Tierra) | Meteorología por satélite (Espacio-Tierra) | Móvil por satélite (Espacio-Tierra) | Operaciones espaciales (Espacio-Tierra),,614,698,Fijo | Móvil,
,,1920,1930,,,,,,173.8125,,5.68,5.73,,,138,143.6,Fijo | Móvil | Radiolocalización | Investigación espacial (Espacio-Tierra),,698,806,Móvil | Móvil aeronáutico,
,,2400,2483.5,,,,,,153.0125,,5.73,5.9,,,143.6,143.65,Fijo | Móvil | Radiolocalización | Investigación espacial (Espacio-Tierra),,806,902,Fijo | Móvil salvo móvil aeronáutico | Aficionados | Radiolocalización,
,,,,,,,,,153.2375,,5.9,5.95,,,143.65,144,Fijo | Móvil | Radiolocalización | Investigación espacial (Espacio-Tierra),,902,928,Fijo | Móvil,
,,,,,,,,,159.0125,,5.95,6.2,,,144,146,Aficionados | Aficionados por satélite,,928,960,Móvil Aeronáutico ® | Radionavegación aeronáutica,
,,,,,,,,,159.2,,6.2,6.525,,,146,148,Aficionados,,960,1164,Radionavegación aeronáutica | Radionavegación por satélite (Espacio-Tierra) (Espacio-Espacio),
,,,,,,,,,163.0125,,6.525,6.685,,,148,149.9,Fijo | Móvil | Móvil por satélite (Tierra-Espacio),,1164,1215,Exploración de la tierra por satélite (Activo) | Investigación espacial (Activo) | Radionavegación aeronáutica | Radionavegación por satélite (Espacio-Tierra) (Espacio-Espacio),
,,,,,,,,,163.2375,,6.685,6.765,,,149.9,150.05,Móvil por satélite (Tierra-Espacio),,1215,1240,Exploración de la tierra por satélite (Activo) | Investigación espacial (Activo) | Radiolocalización | Radionavegación por satélite (Espacio-Tierra) (Espacio-Espacio) | Aficionados,
,,,,,,,,,162.025,,6.765,7,,,150.05,156.4875,Fijo | Móvil,,1240,1300,Exploración de la tierra por satélite (Activo) | Investigación espacial (Activo) | Radiolocalización| Radionavegación por satélite (Espacio-Tierra) (Espacio-Espacio) | Aficionados,
,,,,,,,,,162.05,,7,7.1,,,156.4875,156.5625,Móvil marítimo (socorro y llamada por LLSD),,1300,1350,Radiolocalización| Radionavegación aeronáutica | Radionavegación por satélite (Tierra-Espacio),
