HF.B,HF.A,HF.Ser,HF.Note,VHF.B,VHF.A,VHF.Ser,VHF.Note
2.85,3.025,,,29.7,30.005,Fijo | Móvil,None
3.025,3.155,,,30.005,30.01,Fijo | Investigación Espacial | Móvil | Operaciones Espaciales (Identificación de Satélites),None
3.155,3.2,,,30.01,37.5,Fijo | Móvil,None
3.2,3.23,,,37.5,38.25,Fijo | Móvil | Radioastronomía,None
3.23,3.4,,,38.25,39.986,Fijo | Móvil,None
3.4,3.5,,,39.986,40.02,Fijo | Móvil | Investigación Espacial,None
3.5,3.75,,,40.02,40.98,Fijo | Móvil,MX68
3.75,4,,,40.98,41.015,Fijo | Móvil | Investigación Espacial,None
4,4.063,,,41.015,41.665,Fijo | Móvil | Radiolocalización,MX38A
4.063,4.438,,,41.665,43.35,Fijo | Móvil,None
4.438,4.488,,,43.35,44,Fijo | Móvil | Radiolocalización,MX38A
4.488,4.65,,,44,50,,
4.65,4.7,,,50,54,,
4.7,4.75,,,54,72,,
4.75,4.85,,,72,73,,
4.85,4.995,,,73,74.6,,
4.995,5.003,,,74.6,74.8,,
5.003,5.005,,,74.8,75.2,,
5.005,5.06,,,75.2,75.4,,
5.06,5.25,,,75.4,76,,
5.25,5.275,,,76,88,,
5.275,5.3515,,,88,108,,
5.3515,5.3665,,,108,117.975,,
5.3665,5.45,,,117.975,137,,
5.45,5.68,,,137,138,,
5.68,5.73,,,138,143.6,,
5.73,5.9,,,143.6,143.65,,
5.9,5.95,,,143.65,144,,
5.95,6.2,,,144,146,,
6.2,6.525,,,146,148,,
6.525,6.685,,,148,149.9,,
6.685,6.765,,,149.9,150.05,,
6.765,7,,,150.05,156.4875,,
7,7.1,,,156.4875,156.5625,,
7.1,7.3,,,156.5625,156.7625,,
7.3,7.4,,,156.7625,156.7875,,
7.4,7.45,,,156.7875,156.8125,,
7.45,8.1,,,156.8125,156.8375,,
8.1,8.195,,,156.8375,157.1875,,
8.195,8.815,,,157.1875,157.3375,,
8.815,8.965,,,157.3375,161.7875,,
8.965,9.04,,,161.7875,161.9375,,
9.04,9.4,,,161.9375,161.9625,,
9.4,9.9,,,161.9625,161.9875,,
9.9,9.995,,,161.9875,162.0125,,
9.995,10.003,,,162.0125,162.0375,,
10.003,10.005,,,162.0375,174,,
10.005,10.1,,,174,216,,
10.1,10.15,,,216,220,,
10.15,11.175,,,220,225,,
11.175,11.275,,,225,225,,
11.275,11.4,,,225,312,,
11.4,11.6,,,,,,
11.6,12.1,,,,,,
12.1,12.23,,,,,,
12.23,13.2,,,,,,
13.2,13.26,,,,,,
13.26,13.36,,,,,,
13.36,13.41,,,,,,
13.41,13.45,,,,,,
13.45,13.55,,,,,,
13.55,13.57,,,,,,
13.57,13.87,,,,,,
13.87,14,,,,,,
14,14.25,,,,,,
14.25,14.35,,,,,,
14.35,14.99,,,,,,
14.99,15.005,,,,,,
15.005,15.01,,,,,,
15.01,15.1,,,,,,
15.1,15.8,,,,,,
15.8,16.1,,,,,,
16.1,16.2,,,,,,
16.2,16.36,,,,,,
16.36,17.41,,,,,,
17.41,17.48,,,,,,
17.48,17.9,,,,,,
17.9,17.97,,,,,,
17.97,18.03,,,,,,
18.03,18.052,,,,,,
18.052,18.068,,,,,,
18.068,18.168,,,,,,
18.168,18.78,,,,,,
18.78,18.9,,,,,,
18.9,19.02,,,,,,
19.02,19.68,,,,,,
19.68,19.8,,,,,,
19.8,19.99,,,,,,
19.99,19.995,,,,,,
19.995,20.01,,,,,,
20.01,21,,,,,,
21,21.45,,,,,,
21.45,21.85,,,,,,
21.85,21.87,,,,,,
21.87,21.924,,,,,,
21.924,22,,,,,,
22,22.855,,,,,,
22.855,23,,,,,,
23,23.2,,,,,,
23.2,23.35,,,,,,
23.35,24,,,,,,
24,24.45,,,,,,
24.45,24.65,,,,,,
24.65,24.89,,,,,,
24.89,24.99,,,,,,
24.99,25.005,,,,,,
25.005,25.01,,,,,,
25.01,25.07,,,,,,
25.07,25.21,,,,,,
25.21,25.55,,,,,,
25.55,25.67,,,,,,
25.67,26.1,,,,,,
26.1,26.175,,,,,,
26.175,26.2,,,,,,
26.2,26.42,,,,,,
26.42,27.5,,,,,,
27.5,28,,,,,,
28,29.7,,,,,,
29.7,30.005,,,,,,
